t_s,r
8.958999999999999631e+00,9.706423605147648237e-01
8.960000000000000853e+00,9.706531084671231602e-01
8.961000000000000298e+00,9.706638758555776736e-01
8.961999999999999744e+00,9.706746627098005176e-01
8.963000000000000966e+00,9.706854685342617417e-01
8.964000000000000412e+00,9.706962933407692340e-01
8.964999999999999858e+00,9.707071364519763712e-01
8.965999999999999304e+00,9.707179977558291206e-01
8.967000000000000526e+00,9.707288770220203755e-01
8.967999999999999972e+00,9.707397736518901254e-01
8.968999999999999417e+00,9.707506876406581942e-01
8.970000000000000639e+00,9.707616183801962562e-01
8.971000000000000085e+00,9.707725656849822693e-01
8.971999999999999531e+00,9.707835290068071998e-01
8.973000000000000753e+00,9.707945079830798685e-01
8.974000000000000199e+00,9.708055023143354889e-01
8.974999999999999645e+00,9.708165112390215734e-01
8.976000000000000867e+00,9.708275344895561654e-01
8.977000000000000313e+00,9.708385716499402518e-01
8.977999999999999758e+00,9.708496224246317974e-01
8.979000000000000981e+00,9.708606864271397408e-01
8.980000000000000426e+00,9.708717630453405079e-01
8.980999999999999872e+00,9.708828518555641107e-01
8.981999999999999318e+00,9.708939523969203345e-01
8.983000000000000540e+00,9.709050642076350046e-01
8.983999999999999986e+00,9.709161864775937012e-01
8.984999999999999432e+00,9.709273186346759621e-01
8.986000000000000654e+00,9.709384604432914623e-01
8.987000000000000099e+00,9.709496109452980805e-01
8.987999999999999545e+00,9.709607697727821174e-01
8.989000000000000767e+00,9.709719360540487454e-01
8.990000000000000213e+00,9.709831094643300853e-01
8.990999999999999659e+00,9.709942889485200235e-01
8.992000000000000881e+00,9.710054740948813601e-01
8.993000000000000327e+00,9.710166644411003523e-01
8.993999999999999773e+00,9.710278590218006656e-01
8.995000000000000995e+00,9.710390573738740816e-01
8.996000000000000441e+00,9.710502591149023921e-01
8.996999999999999886e+00,9.710614636058708671e-01
8.997999999999999332e+00,9.710726698230961462e-01
8.999000000000000554e+00,9.710838771263888836e-01
9.000000000000000000e+00,9.710950848878480146e-01
9.000999999999999446e+00,9.711062924283283548e-01
9.002000000000000668e+00,9.711174993025307733e-01
9.003000000000000114e+00,9.711287046189144290e-01
9.003999999999999559e+00,9.711399073026194539e-01
9.005000000000000782e+00,9.711511066304695516e-01
9.006000000000000227e+00,9.711623024813758054e-01
9.006999999999999673e+00,9.711734936987223010e-01
9.008000000000000895e+00,9.711846795614441641e-01
9.009000000000000341e+00,9.711958594268226275e-01
9.009999999999999787e+00,9.712070324095019025e-01
9.011000000000001009e+00,9.712181976496639946e-01
9.012000000000000455e+00,9.712293543786632011e-01
9.012999999999999901e+00,9.712405017212933922e-01
9.013999999999999346e+00,9.712516392155131628e-01
9.015000000000000568e+00,9.712627658291838051e-01
9.016000000000000014e+00,9.712738809187521083e-01
9.016999999999999460e+00,9.712849835102170815e-01
9.018000000000000682e+00,9.712960730682018706e-01
9.019000000000000128e+00,9.713071490685138976e-01
9.019999999999999574e+00,9.713182104935387251e-01
9.021000000000000796e+00,9.713292565866150641e-01
9.022000000000000242e+00,9.713402866545505221e-01
9.022999999999999687e+00,9.713512996812927458e-01
9.024000000000000909e+00,9.713622949432207943e-01
9.025000000000000355e+00,9.713732713695094612e-01
9.025999999999999801e+00,9.713842285133508225e-01
9.027000000000001023e+00,9.713951653564426580e-01
9.028000000000000469e+00,9.714060813039455677e-01
9.028999999999999915e+00,9.714169755979772392e-01
9.029999999999999361e+00,9.714278471221972078e-01
9.031000000000000583e+00,9.714386953863497487e-01
9.032000000000000028e+00,9.714495196030492608e-01
9.032999999999999474e+00,9.714603189225290425e-01
9.034000000000000696e+00,9.714710924165257389e-01
9.035000000000000142e+00,9.714818395794629913e-01
9.035999999999999588e+00,9.714925593250819391e-01
9.037000000000000810e+00,9.715032509287749862e-01
9.038000000000000256e+00,9.715139135681769567e-01
9.038999999999999702e+00,9.715245465935171687e-01
9.040000000000000924e+00,9.715351490310679683e-01
9.041000000000000369e+00,9.715457200765421630e-01
9.041999999999999815e+00,9.715562589119326464e-01
9.043000000000001037e+00,9.715667650406453193e-01
9.044000000000000483e+00,9.715772379307086037e-01
9.044999999999999929e+00,9.715876768370163008e-01
9.045999999999999375e+00,9.715980808463967611e-01
9.047000000000000597e+00,9.716084489028311566e-01
9.048000000000000043e+00,9.716187803450069271e-01
9.048999999999999488e+00,9.716290748212492723e-01
9.050000000000000711e+00,9.716393313135490706e-01
9.051000000000000156e+00,9.716495493345919110e-01
9.051999999999999602e+00,9.716597281548140508e-01
9.053000000000000824e+00,9.716698672987272856e-01
9.054000000000000270e+00,9.716799657580572624e-01
9.054999999999999716e+00,9.716900226090467996e-01
9.056000000000000938e+00,9.717000373359383492e-01
9.057000000000000384e+00,9.717100094616372141e-01
9.057999999999999829e+00,9.717199381112184842e-01
9.059000000000001052e+00,9.717298226927367777e-01
9.060000000000000497e+00,9.717396626403712601e-01
9.060999999999999943e+00,9.717494572910160278e-01
9.061999999999999389e+00,9.717592059313900910e-01
9.063000000000000611e+00,9.717689081901692560e-01
9.064000000000000057e+00,9.717785635918334552e-01
9.064999999999999503e+00,9.717881714087457379e-01
9.066000000000000725e+00,9.717977311107957039e-01
9.067000000000000171e+00,9.718072418118113287e-01
9.067999999999999616e+00,9.718167034444823438e-01
